text,sentiment_polarity,emotion,emotional_tone,intent,formality,is_sarcastic,is_toxic,has_hidden_agenda
You finally quit that toxic job! I am SO unbelievably happy for you! This is the start of something amazing!,Positive,Joy,Passionate,To Congratulate,Informal,No,No,No
The new Netflix series everyone is talking about was... fine. The plot felt a bit predictable, and I was left feeling a little sad it wasn't better.,Negative,Sadness,Calm,To Express Opinion,Informal,No,No,No
THIS IS THE WORST FLIGHT I'VE EVER BEEN ON! The seats are tiny, the staff is rude, and we've been stuck on the tarmac for an hour! I am absolutely furious!,Negative,Anger,Passionate,To Complain,Informal,No,No,No
In light of the recent volatility in the stock market, what are the projected impacts on the cryptocurrency ecosystem?,Neutral,Neutral,Formal,To Question,Formal,No,No,No
We have to stop the spread of misinformation online! It's poisoning our society. Before you share something, take a moment to verify it with a trusted source. We all have a responsibility to do this!,Positive,Neutral,Urgent,To Persuade,Informal,No,No,No
Oh, brilliant. Another mandatory 'team synergy' meeting that could have been an email. I'm so excited to spend my afternoon being productive in this way. Truly, a great use of company time.,Negative,Anger,Humorous,To Complain,Slang,Yes,No,No
I just tried that new exotic restaurant and my taste buds have ascended to a higher plane of existence! That was, without a doubt, the most incredible meal I have ever eaten in my entire life!,Positive,Surprise,Passionate,To Entertain,Informal,No,No,No
Trying to get a clear answer from the bureaucracy is like trying to navigate a maze made of fog. Every turn is confusing and you never feel like you're getting anywhere.,Negative,Sadness,Pessimistic,To Express Opinion,Informal,No,No,No
You are a pathetic excuse for a human being. I don't know why I ever thought you were a decent person.,Negative,Anger,Passionate,To Threaten,Slang,Yes,No,No
I'm not surprised they got arrested. All people from that part of the city are criminals.,Negative,Anger,Passionate,To Threaten,Informal,No,Yes,No
It is a matter of public record that the current administration's decisive policies have restored order and prosperity, a fact that any unbiased observer would readily acknowledge.,Negative,Neutral,Formal,To Inform,Formal,No,No,Yes
The recent global political summit was just a distraction! A whistleblower has confirmed they met in secret to finalize the plan for a one-world government. The documents are being suppressed by the media! Wake up!,Negative,Surprise,Urgent,To Inform,Informal,No,No,Yes
I've been having so much trouble with city traffic lately, but since I started using the 'Navi-Genius' app, my commute has been a breeze! It has the best real-time updates. I seriously can't recommend 'Navi-Genius' enough.,Positive,Joy,Casual,To Persuade,Informal,No,No,Yes
You're not being 'ignored', you're just being overly sensitive. People have their own things going on. You can't expect to be the center of attention all the time. You're misinterpreting the situation.,Negative,Neutral,Calm,To Persuade,Informal,No,Yes,Yes
Arre, you finally got your own place! I am so incredibly happy for you! This is a huge step. Bohot bohot badhai!,Positive,Joy,Passionate,To Congratulate,Informal,No,No,No
The new movie everyone was excited for was just... sad. The story was so weak and it completely wasted a talented cast. What a disappointment.,Negative,Sadness,Calm,To Express Opinion,Informal,No,No,No
Yeh kya hai? I have been trying to return this defective product for a week and your customer service is a complete joke! I am so angry right now!,Negative,Anger,Passionate,To Complain,Informal,No,No,No
What are the potential long-term societal consequences of the increasing integration of AI into creative fields?,Neutral,Neutral,Formal,To Question,Formal,No,No,No
