text,hate_speech,sarcasm,emotion
ಬیल पر ಉಭರ ಸಪಥ ಆಗಲಾ ��������ಿಙ್ಳ್����������್ಟಙ್ಳ್���������,No,No,Sadness
"I'm genuinely scared about the outcome of this election. The narrow margin and suspicious irregularities have me questioning the integrity of our democracy. Hopefully, the authorities will investigate and ensure a fair result for all.",No,No,Fear
எங்கள் நாள் எதிர்காட்டுகள் உரித்பிரிவின்றுகின்றன. பலர் வலையிருகின்றனால்,No,No,Joy
नई विकास परकारी करे मालियों को सलाम! या कई दिनों से एक नई इंफ्रा struktur का निर्माण शु,No,No,Neutral
"எங்கள் எகாரள் கீரத்துவான் கருத்த உற்றிவான் பிரவான் தொடர்ந்து, ஒரு",No,No,Fear
"Reports of high-ranking officials accepting bribes and manipulating public funds for personal gain have once again brought into question the integrity of our political system. As citizens, we must demand accountability and transparency from those in power to combat corruption and restore trust.",No,No,Neutral
எல்கூரியின் எடுத்திருக்கிற்றன்! என் காரணம் போர்கடாரன். பரதம் வைத்துள்ள,No,No,Anger
Just heard the Speech of Hon'ble [Politician's Name] at [Event Name]. He/She spoke confidently on various issues affecting our society and presented some valid points. Looking forward to the implementation of those promises. #Politics #Speech #HonestOpinion,No,No,Neutral
"உங்காற்றுகின்றேன், எழுபார் காரணமாட்டுகின்று ஒரு மற்றுர்வார் கட்டரின்பட",No,No,Neutral
दुनिया के प्रभावों के का विभिन्न प्रकार का उपयोग करने के का फैसल करने के लिए विव,No,No,Fear
"Wow, that politician's speech was truly a masterpiece of coherence and eloquence. I've never seen someone struggle so hard to connect unrelated dots and confuse their audience. Bravo! - (your Twitter handle)",No,Yes,Anger
"உங்கள் விலையார்கள் கடவுள் விலைகளுடையார்கள், எங்கள் காத்ததிருக்கிறது கடவு",No,No,Sadness
Great news for our health! The new healthcare reform bill aims to provide affordable medical care to all. This will be a huge relief for the needy and a step towards a healthier society. Let's support and spread awareness about this important decision. #HealthcareReform #AffordableCare #HealthyIndia,No,No,Joy
"Just heard about the new tax policy. Looks like my hard-earned savings will be taking a hit. Disappointing news, especially during these uncertain times. #TaxPolicy2021 #Disappointed",No,No,Sadness
"जयपुर विधान सभा कह चुकी है, लेकिन मैं कहता रहूँगा कि संगथन के लिए दूर होने के",No,No,Sadness
Enough is enough! How many more scams will it take for our leaders to realize the gravity of their actions? Our hard-earned money is being frittered away in exchange for favors and power. It's time to speak up and demand accountability from our corrupt politicians! #EndPoliticalCorruption #JusticeForPeople,No,No,Anger
"How can this be the result?! This election is rigged, I swear. Our voice doesn't matter in this corrupt system. Democracy has become a joke. Time for a real revolution, not these fake polls. (146 characters)",No,No,Anger
Exciting news! Our city just announced a new infrastructure project that will bring much-needed improvements to our transportation system. I'm thrilled to see our community investing in our future and can't wait to enjoy the benefits of this innovative project! #InfrastructureProject #CommunityProgress #CityImprovements,No,No,Joy
"Can't believe the new highway is going to destroy the green space I've enjoyed for years. Progress comes at a cost, but this feels like a major loss for our community.",No,No,Sadness
"Absolutely disgusted with the outcome of this election! How could the people be so blind to vote for the same corrupt politicians who have led us to the brink of destruction? This is a travesty of democracy, and I refuse to accept it! #ElectionFraud #Resist",Yes,No,Anger
"Exciting progress can be seen on the new public transportation system in downtown. Construction is underway, and it's shaping up to be a game-changer for commuters.",No,No,Neutral
"Excited to see the new tax policy being implemented! This will provide much-needed relief for small businesses and working families, allowing us to invest in our communities and grow our economy. Let's all work together to ensure its success! #newtaxpolicy #supportlocal #economicgrowth",No,No,Joy
"Just learned that a new healthcare reform bill has been proposed in Congress. While it remains to be seen how it will impact accessibility, affordability, and quality of care, advocates and opponents alike are voicing their opinions in the ongoing debate.",No,No,Neutral
ਅੱਪੀਸਗੀਓੀ ਵਿਚਾਰੀਗਵਾਨੀ ਵੈਡਾਸਨਾਚਰ��,No,No,Neutral
"என் காரணமான நாங்கள், பரபர்டுரம் பத்ரமான விவிட்டுகிறது. மதிப்படையான தமில் கிர",No,No,Fear
